"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","GREENWICH_DATUM","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","SHOW_CRS","DEPRECATED","COORD_SYS_CODE","COORD_OP_CODE","COORD_OP_CODE_MULTI","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
3819,GCS_HD1909,1024,D_Hungarian_Datum_1909,1024,9122,7004,8901,1,0,6422,3817,0,9607,595.48,121.69,515.35,-4.115,2.9383,-0.853,-3.408
3821,GCS_TWD_1967,1025,D_TWD_1967,1025,9122,7050,8901,1,0,6422,,0,,,,,,,,
3824,GCS_TWD_1997,1026,D_TWD_1997,1026,9122,7019,8901,1,0,6422,3830,0,9603,0,0,0,,,,
3889,GCS_IGRS,1029,D_Iraqi_Geospatial_Reference_System,1029,9122,7019,8901,1,0,6422,3894,0,9603,0,0,0,,,,
3906,GCS_MGI_1901,1031,D_MGI_1901,1031,9122,7004,8901,1,0,6422,3962,1,9603,682,-203,480,,,,
4001,GCS_Airy_1830,6001,D_Airy_1830,6001,9122,7001,8901,0,0,6422,,0,,,,,,,,
4002,GCS_Airy_Modified,6002,D_Airy_Modified,6002,9122,7002,8901,0,0,6422,,0,,,,,,,,
4003,GCS_Australian,6003,D_Australian,6003,9122,7003,8901,0,0,6422,,0,,,,,,,,
4004,GCS_Bessel_1841,6004,D_Bessel_1841,6004,9122,7004,8901,0,0,6422,,0,,,,,,,,
4005,GCS_Bessel_Modified,6005,D_Bessel_Modified,6005,9122,7005,8901,0,0,6422,,0,,,,,,,,
4006,GCS_Bessel_Namibia,6006,D_Bessel_Namibia,6006,9122,7046,8901,0,0,6422,,0,,,,,,,,
4007,GCS_Clarke_1858,6007,D_Clarke_1858,6007,9122,7007,8901,0,0,6422,,0,,,,,,,,
4008,GCS_Clarke_1866,6008,D_Clarke_1866,6008,9122,7008,8901,0,0,6422,,0,,,,,,,,
4009,GCS_Clarke_1866_Michigan,6009,D_Clarke_1866_Michigan,6009,9122,7009,8901,0,0,6422,,0,,,,,,,,
4010,GCS_Clarke_1880_Benoit,6010,D_Clarke_1880_Benoit,6010,9122,7010,8901,0,0,6422,,0,,,,,,,,
4011,GCS_Clarke_1880_IGN,6011,D_Clarke_1880_IGN,6011,9122,7011,8901,0,0,6422,,0,,,,,,,,
4012,GCS_Clarke_1880_RGS,6012,D_Clarke_1880_RGS,6012,9122,7012,8901,0,0,6422,,0,,,,,,,,
4013,GCS_Clarke_1880_Arc,6013,D_Clarke_1880_Arc,6013,9122,7013,8901,0,0,6422,,0,,,,,,,,
