"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","GREENWICH_DATUM","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","SHOW_CRS","DEPRECATED","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
#
# NOTICE: The master version of this file is in the libgeotiff subversion at:
#4289,Amersfoort,6289,Amersfoort,6289,9122,7004,8901,1,0,9606,565.2369,50.0087,465.658,-0.406857330322398,0.350732676542563,-1.8703473836068,4.0812
4123,KKJ,6123,Kartastokoordinaattijarjestelma 1966,6123,9122,7022,8901,1,0,9606,-96.0617,-82.4278,-121.7435,4.80107,0.34543,-1.37646,1.4964
4149,CH1903,6149,CH1903,6149,9122,7004,8901,1,0,9603,674.374,15.056,405.346
4218,Bogota 1975,6218,Bogota 1975,6218,9122,7022,8901,1,0,9603,307,304,-318
4272,NZGD49,6272,New Zealand Geodetic Datum 1949,6272,9122,7022,8901,1,0,9606,59.47,-5.04,187.44,0.47,-0.1,1.024,-4.5993
4312,MGI,6312,Militar-Geographische Institut,6312,9108,7004,8901,1,0,9606,577.326,90.129,463.919,5.137,1.474,5.297,2.4232
4313,Belge 1972,6313,Reseau National Belge 1972,6313,9122,7022,8901,1,0,9606,106.868628,-52.297783,103.723893,-0.336570,0.456955,-1.842183,1.0000012747
#
# https://svn.osgeo.org/metacrs/geotiff/trunk/libgeotiff/csv/gcs.override.csv
#
# Do *not* change other copies without upstreaming the results to libgeotiff.
