code,name
0,"WMO Secretariat"
1,"Melbourne (WMC)"
2,"Melbourne (WMC)"
3,"Melbourne (WMC)"
4,"Moscow (WMC)"
5,"Moscow (WMC)"
6,"Moscow (WMC)"
7,"US National Weather Service - NCEP (WMC)"
8,"US National Weather Service - NWSTG (WMC)"
9,"US National Weather Service - Other (WMC)"
10,"Cairo (RSMC/RAFC)"
11,"Cairo (RSMC/RAFC)"
12,"Dakar (RSMC/RAFC)"
13,"Dakar (RSMC/RAFC)"
14,"Nairobi (RSMC/RAFC)"
15,"Nairobi (RSMC/RAFC)"
16,"Casablanca (RSMC)"
17,"Tunis (RSMC)"
18,"Tunis-Casablanca (RSMC)"
19,"Tunis-Casablanca (RSMC)"
20,"Las Palmas (RAFC)"
21,"Algiers (RSMC)"
22,"ACMAD"
23,"Mozambique (NMC)"
24,"Pretoria (RSMC)"
25,"La Réunion"
26,"Khabarovsk (RSMC)"
27,"Khabarovsk (RSMC)"
28,"New Delhi (RSMC/RAFC)"
29,"New Delhi (RSMC/RAFC)"
30,"Novosibirsk (RSMC)"
31,"Novosibirsk (RSMC)"
32,"Tashkent (RSMC)"
33,"Jeddah (RSMC)"
34,"Tokyo (RSMC), Japanese Meteorological Agency"
35,"Tokyo (RSMC), Japanese Meteorological Agency"
36,"Bangkok"
37,"Ulan Bator"
38,"Beijing (RSMC)"
39,"Beijing (RSMC)"
40,"Seoul"
41,"Buenos Aires (RSMC/RAFC)"
42,"Buenos Aires (RSMC/RAFC)"
43,"Brasilia (RSMC/RAFC)"
44,"Brasilia (RSMC/RAFC)"
45,"Santiago"
46,"Brazilian Space Agency - INPE"
47,"Colombia (NMC)"
48,"Ecuador (NMC)"
49,"Peru (NMC)"
50,"Venezuela (NMC)"
51,"Miami (RSMC/RAFC)"
52,"Miami (RSMC), National Hurricane Center"
53,"Canadian Meteorological Service - Montreal (RSMC)"
54,"Canadian Meteorological Service - Montreal (RSMC)"
55,"San Francisco"
56,"ARINC Center"
57,"US Air Force - Air Force Global Weather Center"
58,"Fleet Numerical Meteorology and Oceanography Center,Monterey,CA,USA"
59,"The NOAA Forecast Systems Lab, Boulder, CO, USA"
60,"National Center for Atmospheric Research (NCAR), Boulder, CO"
61,"Service ARGOS - Landover, MD, USA"
62,"US Naval Oceanographic Office"
63,"International Research Institude for Climate and Society"
